Produkt,Ilość,Jednostka
mąka pszenna tortowa lub uniwersalna,320.0,g
duże jajka,12.0,sztuka
cukier drobny,290.0,g
cukier wanilinowy,32.0,g
gęsty jogurt lub skyr,150.0,g
olej roślinny np. rzepakowy,140.0,ml
jabłka np. szara reneta,3.0,sztuka
kakao,60.0,g
cynamon,1.0,
proszek do pieczenia,1.0,
soda oczyszczona,1.0,
mąka pszenna tortowa,390.0,g
masło,450.0,g
mleko,50.0,ml
proszek do pieczenia i soda,1.0,
świeże śliwki,600.0,g
śmietanka 30 %,30.0,ml
czekolada gorzka,130.0,g
wiórki kokosowe,20.0,g
cukier,200.0,g
czekolada mleczna,100.0,g
sól,1.0,
masło orzechowe (572 kcal w 100 gramach),150.0,g
orzechy ziemne - prażone i solone,50.0,g
precelki (394 kcal w 100 gramach),30.0,g
